t,cmd_v,cmd_w,slew_v,slew_w,cmd_left_rpm,cmd_right_rpm,fb_left_rpm,fb_right_rpm,left_counts,right_counts,x,y,theta_deg,odom_v,odom_w,odom_v_raw,odom_w_raw,axis1_state,axis2_state
1.3410000065050554e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,operation_enabled,operation_enabled
0.02013952600009361,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,2,6.327670746374312e-06,1.862298493193748e-10,0.0033725472383720934,0.00012178643895769494,0.0011328971065832087,0.0003144009877523955,0.0029246603511850744,operation_enabled,operation_enabled
0.040231556000208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,2.74046668062404e-15,-9.311492465968742e-11,0.0016862736191860467,-4.7206192222806555e-05,0.00012769304130491512,-0.0003149343670098166,-0.001464811009347984,operation_enabled,operation_enabled
0.06040813900017383,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1,0,-3.163835370104131e-06,-2.095085804842967e-10,0.00252941042877907,-8.972645707474799e-05,0.00036110336499459487,-0.00015680729363438267,0.0007293362494622449,operation_enabled,operation_enabled
0.08054731900006118,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,2.740467104140514e-15,-9.311492465968744e-11,0.0016862736191860465,5.921734511982825e-06,-6.198240945913037e-05,0.00015709852014986873,-0.0007306907913947382,operation_enabled,operation_enabled
0.10069166700009191,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,2.740467104140514e-15,-9.311492465968744e-11,0.0016862736191860465,3.6266174712031114e-06,-3.795956887241134e-05,0.0,0.0,operation_enabled,operation_enabled
0.12083907300007013,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,-1,-3.163835371474365e-06,-1.62951118154453e-10,0.0008431368095930232,-5.864737797208627e-05,-0.0003063542861185489,-0.00015703437827269457,-0.0007303924570823002,operation_enabled,operation_enabled
0.14098357500006387,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,-2,-6.327670746374314e-06,-1.8622984931937484e-10,-1.9412565194479472e-19,-9.678868512619888e-05,-0.00047074251489876426,-0.0001570570161037051,-0.0007304977493195585,operation_enabled,operation_enabled
0.16111991800016767,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1,0,-3.1638353723878548e-06,-1.163936558246093e-10,0.00252941042877907,1.5963074837715746e-06,0.0005611667864080717,0.00015712065368561834,0.0021923812142179305,operation_enabled,operation_enabled
0.18126338199999736,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2,-1,3.1638353760418092e-06,-2.3278731164921907e-11,-0.0008431368095930236,0.00012272342418361508,-0.0007888406290421148,0.0003141302186198843,-0.0029221415685570635,operation_enabled,operation_enabled
0.2014376860001903,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,1.3702324932790728e-15,-4.6557462329843756e-11,0.0016862736191860467,1.4278787907787599e-05,0.0003660581851033243,-0.00015682500744431524,0.0021882559178276547,operation_enabled,operation_enabled
0.22159570200005874,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,1.3702324932790728e-15,-4.6557462329843756e-11,0.0016862736191860467,8.742385793197297e-06,0.00022412419720762853,0.0,0.0,operation_enabled,operation_enabled
0.24175660800005971,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,1.3702324932790728e-15,-4.6557462329843756e-11,0.0016862736191860467,5.352349336820774e-06,0.00013721551835691985,0.0,0.0,operation_enabled,operation_enabled
0.2619038690002071,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,-1,-3.1638353728445995e-06,-1.1639365582460932e-10,0.0008431368095930233,-5.759071969836498e-05,-0.00019907957357198937,-0.00015703550844906348,-0.0007303977137165743,operation_enabled,operation_enabled
0.2820481590001691,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2,0,-6.327670745460825e-06,-2.3278731164921856e-10,0.0033725472383720934,-9.614195538903192e-05,0.0007274543106078181,-0.00015705866898362296,0.0021915163113993903,operation_enabled,operation_enabled
0.30225607500005935,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-1.8269797634929037e-15,4.655746232984366e-11,0.0016862736191860467,6.278720288713014e-05,-0.00012059125588831409,0.0003131283181334799,-0.0014564107820161853,operation_enabled,operation_enabled
0.3223746510000183,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1,0,-3.1638353746715776e-06,-6.983619349476559e-11,0.00252941042877907,-2.2430537062147156e-05,0.00020937566192156843,-0.0001572594091659666,0.0007314391123998446,operation_enabled,operation_enabled
0.3424731170000541,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,1,3.163835369190641e-06,2.0950857702447455e-10,0.00252941042877907,0.00010810212857710708,0.00012834015609375677,0.0003148335176434354,0.0,operation_enabled,operation_enabled
0.36258216200008064,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1,0,3.163835369190641e-06,2.0950857702447455e-10,0.0008431368095930232,6.624943005699338e-05,-0.00048798260090911,0.0,-0.0014635715790719407,operation_enabled,operation_enabled
0.3827379110000493,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.39672383529709e-10,0.0016862736191860465,-2.0294609148998027e-05,-1.5724303558868147e-05,-0.0001569693775715831,0.0007300901282399214,operation_enabled,operation_enabled
0.40285472800019306,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.39672383529709e-10,0.0016862736191860465,-1.2435510319339972e-05,-9.635058144511897e-06,0.0,0.0,operation_enabled,operation_enabled
0.42297721300019475,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.39672383529709e-10,0.0016862736191860465,-7.619020632695534e-06,-5.903232349547323e-06,0.0,0.0,operation_enabled,operation_enabled
0.44329734500001905,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.39672383529709e-10,0.0016862736191860465,-4.650349909410668e-06,-3.6031003649133365e-06,0.0,0.0,operation_enabled,operation_enabled
0.4634610350001367,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.39672383529709e-10,0.0016862736191860465,-2.8469304738672284e-06,-2.2058073970983966e-06,0.0,0.0,operation_enabled,operation_enabled
0.4836290900000222,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,1,3.163835367820407e-06,2.5606603935431824e-10,0.00252941042877907,5.9101370903361974e-05,0.00028164557120553,0.00015687359911662765,0.0007296446470540821,operation_enabled,operation_enabled
0.5037961510001878,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.3967238352970897e-10,0.0016862736191860465,-2.466593112371657e-05,-0.0001105898479439855,-0.00015688133114627614,-0.0007296806099826797,operation_enabled,operation_enabled
0.5239883960000498,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.3967238352970897e-10,0.0016862736191860465,-1.5092121697438058e-05,-6.76656168096976e-05,0.0,0.0,operation_enabled,operation_enabled
0.5442070100000365,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,-5.024191173231933e-15,1.3967238352970897e-10,0.0016862736191860465,-9.22960272147849e-06,-4.1380978339402154e-05,0.0,0.0,operation_enabled,operation_enabled
0.564371125000207,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1,0,-3.1638353778687894e-06,2.327872770509972e-11,0.00252941042877907,-6.649900689802924e-05,0.00025768418541702683,-0.00015690425168609544,0.0007297872171446299,operation_enabled,operation_enabled
